C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,03-03-2022 15:19,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:31,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:36,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:42,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:45,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:46,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,03-03-2022 15:46,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,6565,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:47,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,03-03-2022 15:47,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,03-03-2022 15:48,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,10,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:49,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:50,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 15:52,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
